7Networks_LH_Default_Par,default,parietal
7Networks_LH_Default_Temp,default,temporal
7Networks_LH_Default_PFC,default,prefrontal cortex
7Networks_LH_Default_pCunPCC,default,precuneus posterior cingulate cortex
7Networks_LH_Default_PHC,default,parahippocampal cortex
7Networks_RH_Default_Par,default,parietal
7Networks_RH_Default_Temp,default,temporal
7Networks_RH_Default_PFCv,default,ventral prefrontal cortex
7Networks_RH_Default_PFCdPFCm,default,dorsal prefrontal cortex medial prefrontal cortex
7Networks_RH_Default_pCunPCC,default,precuneus posterior cingulate cortex
